brand,model,amount,price
arctic,mx 2,0.0499841664027733,0.0
arctic,mx 4,0.0333172219536992,0.0
arctic,mx-2,0.0066501108351805,0.0
arctic,mx-2 2019 edition,0.0066501108351805,0.0
arctic,mx-4 2019,0.0133168886148102,0.0
arctic,mx-4 2019 edition,0.0066501108351805,0.0
arctic,mx2,0.0499841664027733,0.0
arctic,mx4,0.0333172219536992,0.0
antec,formula 6 nano diamond,0.0066501108351805,0.0
antec,formula 7 nano diamond,0.0066501108351805,0.0
arctic silver,5 high-density polysynthetic silver,0.0199836663944399,0.0
arctic silver,arctic alumina,0.008316805280088,0.0
arctic silver,arctic alumina premium ceramic polysynthetic,0.0029000483341389,0.0
arctic silver,ceramique 2 tri-linear,0.0416506941782363,0.0
biostar,tc-diamond,0.002483374722912,0.0
cryorig,cp15,0.0066501108351805,0.0
cryorig,cp5,0.0066501108351805,0.0
cryorig,cp7,0.0066501108351805,0.0
cooler master,extreme fusion x1,0.002483374722912,0.0
cooler master,htk-002,0.0,0.0
cooler master,ic essential e1,0.0062334372239537,0.0
cooler master,icefusion,0.0666511108518475,0.0
cooler master,mastergel maker,0.002483374722912,0.0
cooler master,mastergel pro,0.002483374722912,0.0
cooler master,mastergel regular,0.002483374722912,0.0
cooler master,thermalfusion 400,0.0066501108351805,0.0
coollaboratory,liquid pro,0.000233337222287,0.0
coollaboratory,liquid ultra,0.000233337222287,0.0
corsair,tm30,0.0049834163902731,0.0
corsair,xtm50,0.008316805280088,0.0
deepcool,z3,0.002483374722912,0.0
deepcool,z9,0.0049834163902731,0.0
evga,frostbite 2,0.0041500691678194,0.0
evercool,stc-01,0.0066501108351805,0.0
evercool,stc-02,0.0049834163902731,0.0
evercool,tc-25,0.0416506941782363,0.0
gelid solutions,gc-2,0.0116501941699028,0.0
gelid solutions,gc-extreme,0.016650277504625,0.0
gelid solutions,gc-supreme,0.0116501941699028,0.0
graphitene,gtp-5,0.0058167636127268,0.0
innovation cooling,"diamond ""7 carat""",0.002483374722912,0.0
innovation cooling,icd24,0.0079834663911065,0.0
logisys,z5,0.0049834163902731,0.0
masscool,fanner-420,0.0033167219453657,0.0
masscool,g751 shin-etsu,0.0008166802780046,0.0
masscool,stars-700,0.0008166802780046,0.0
noctua,nt-h1,0.0058167636127268,0.0
noctua,nt-h2,0.0058167636127268,0.0
phanteks,ph-ndc_02,0.0033167219453657,0.0
prolimatech,pk-1,0.0499841664027733,0.0
prolimatech,pk-2 nano aluminum high-grade,0.0499841664027733,0.0
prolimatech,pk-3 nano aluminum high-grade,0.002483374722912,0.0
prolimatech,pk-zero,0.0499841664027733,0.0
rosewill,rcx-tc001,0.008316805280088,0.0
rosewill,rcx-tc090pro,0.0333172219536992,0.0
startech,heatgrease,0.0333172219536992,0.0
startech,metal oxide,0.002483374722912,0.0
sunbeam,gi-1,0.0058167636127268,0.0
sunbeam,iceberg ts-ib,0.0016500275004583,0.0
syba,cl-ptsl-cool,0.002483374722912,0.0
tuniq,tx-2,0.0058167636127268,0.0
tuniq,tx-2 extreme,0.0016500275004583,0.0
tuniq,tx-4 extreme performance,0.0016500275004583,0.0
thermal grizzly,aeronaut,0.0064834413906898,0.0
thermal grizzly,conductonaut,0.0016500275004583,0.0
thermal grizzly,hydronaut,0.0064834413906898,0.0
thermal grizzly,kryonaut,0.0091501525025417,0.0
thermal grizzly,kryonaut 1g,0.0016500275004583,0.0
thermalright,chill factor 3,0.0066501108351805,0.0
thermalright,silver king,0.0016500275004583,0.0
thermalright,tf8,0.0033167219453657,0.0
thermalright,tfx,0.0103168386139768,0.0
thermaltake,cl-o001-grosgm-a,0.002483374722912,0.0
thermaltake,cl-o002-grosgm-a,0.0666511108518475,0.0
thermaltake,cl-o0028,0.0066501108351805,0.0
thermaltake,cl-o004-grosgm-a,0.0066501108351805,0.0
thermaltake,clz0022,0.0066501108351805,0.0
thermene,graphene,0.0149835830597176,0.0
xigmatek,freezing point g4718,0.0066501108351805,0.0
xigmatek,pti-g3606,0.0049834163902731,0.0
xigmatek,pti-g4512,0.0066501108351805,0.0
zalman,zm - stg1,0.0058167636127268,0.0
zalman,zm-stg2,0.0058167636127268,0.0
ARCTIC,MX 2,30.0,"['USD', '18.62']"
ARCTIC,MX 4,20.0,"['USD', '21.49']"
ARCTIC,MX-2,4.0,"['USD', '12.87']"
ARCTIC,MX-2 2019 Edition,4.0,"['USD', '6.99']"
ARCTIC,MX-4 2019,8.0,"['USD', '13.24']"
ARCTIC,MX-4 2019 Edition,4.0,"['USD', '0.00']"
ARCTIC,MX2,30.0,"['USD', '27.57']"
ARCTIC,MX4,20.0,"['USD', '37.21']"
Antec,77064,1.0,"['USD', '0.00']"
Antec,Formula 6 Nano Diamond,4.0,"['USD', '0.00']"
Antec,Formula 7 Nano Diamond,4.0,"['USD', '50.99']"
Arctic Silver,5 High-Density Polysynthetic Silver,12.0,"['USD', '14.95']"
Arctic Silver,Arctic Alumina,5.0,"['USD', '35.99']"
Arctic Silver,Arctic Alumina Premium Ceramic Polysynthetic,1.75,"['USD', '4.90']"
Arctic Silver,Ceramique 2 Tri-Linear,25.0,"['USD', '7.89']"
Biostar,TC-DIAMOND,1.5,"['USD', '0.00']"
CRYORIG,CP15,4.0,"['USD', '0.00']"
CRYORIG,CP5,4.0,"['USD', '0.00']"
CRYORIG,CP7,4.0,"['USD', '0.00']"
Cooler Master,Extreme Fusion X1,1.5,"['USD', '0.00']"
Cooler Master,HTK-002,0.01,"['USD', '8.11']"
Cooler Master,IC ESSENTIAL E1,3.75,"['USD', '6.99']"
Cooler Master,IceFusion,40.0,"['USD', '0.00']"
Cooler Master,MasterGel Maker,1.5,"['USD', '15.98']"
Cooler Master,MasterGel Pro,1.5,"['USD', '13.59']"
Cooler Master,MasterGel Regular,1.5,"['USD', '16.98']"
Cooler Master,ThermalFusion 400,4.0,"['USD', '0.00']"
Coollaboratory,Liquid Pro,0.15,"['USD', '12.73']"
Coollaboratory,Liquid Ultra,0.15,"['USD', '11.40']"
Corsair,TM30,3.0,"['USD', '7.99']"
Corsair,XTM50,5.0,"['USD', '12.99']"
Deepcool,Z3,1.5,"['USD', '0.00']"
Deepcool,Z9,3.0,"['USD', '13.98']"
EVGA,Frostbite 2,2.5,"['USD', '13.48']"
Evercool,STC-01,4.0,"['USD', '9.80']"
Evercool,STC-02,3.0,"['USD', '0.00']"
Evercool,TC-25,25.0,"['USD', '189.52']"
Gelid Solutions,GC-2,7.0,"['USD', '0.00']"
Gelid Solutions,GC-Extreme,10.0,"['USD', '28.98']"
Gelid Solutions,GC-Supreme,7.0,"['USD', '12.99']"
Graphitene,GTP-5,3.5,"['USD', '13.99']"
Innovation Cooling,"Diamond ""7 Carat""",1.5,"['USD', '0.00']"
Innovation Cooling,ICD24,4.8,"['USD', '0.00']"
Logisys,Z5,3.0,"['USD', '0.00']"
Masscool,Fanner-420,2.0,"['USD', '8.53']"
Masscool,G751 Shin-Etsu,0.5,"['USD', '7.49']"
Masscool,Stars-700,0.5,"['USD', '5.99']"
Noctua,NT-H1,3.5,"['USD', '8.99']"
Noctua,NT-H2,3.5,"['USD', '0.00']"
Phanteks,PH-NDC_02,2.0,"['USD', '8.99']"
Prolimatech,PK-1,30.0,"['USD', '26.99']"
Prolimatech,PK-2 Nano Aluminum High-Grade,30.0,"['USD', '27.49']"
Prolimatech,PK-3 Nano Aluminum High-Grade,1.5,"['USD', '8.16']"
Prolimatech,PK-Zero,30.0,"['USD', '0.00']"
Rosewill,RCX-TC001,5.0,"['USD', '0.00']"
Rosewill,RCX-TC090PRO,20.0,"['USD', '0.00']"
StarTech,HeatGrease,20.0,"['USD', '9.99']"
StarTech,Metal Oxide,1.5,"['USD', '12.49']"
Sunbeam,GI-1,3.5,"['USD', '7.95']"
Sunbeam,Iceberg TS-IB,1.0,"['USD', '5.99']"
Syba,CL-PTSL-COOL,1.5,"['USD', '0.00']"
TUNIQ,TX-2,3.5,"['USD', '0.00']"
TUNIQ,TX-2 Extreme,1.0,"['USD', '0.00']"
TUNIQ,TX-4 Extreme Performance,1.0,"['USD', '35.97']"
Thermal Grizzly,Aeronaut,3.9,"['USD', '9.50']"
Thermal Grizzly,Conductonaut,1.0,"['USD', '11.32']"
Thermal Grizzly,Hydronaut,3.9,"['USD', '12.73']"
Thermal Grizzly,Kryonaut,5.5,"['USD', '20.29']"
Thermal Grizzly,Kryonaut 1g,1.0,"['USD', '7.81']"
Thermalright,Chill Factor 3,4.0,"['USD', '7.99']"
Thermalright,Silver King,1.0,"['USD', '0.00']"
Thermalright,TF8,2.0,"['USD', '11.99']"
Thermalright,TFX,6.2,"['USD', '39.99']"
Thermaltake,CL-O001-GROSGM-A,1.5,"['USD', '7.95']"
Thermaltake,CL-O002-GROSGM-A,40.0,"['USD', '23.40']"
Thermaltake,CL-O0028,4.0,"['USD', '0.00']"
Thermaltake,CL-O004-GROSGM-A,4.0,"['USD', '7.99']"
Thermaltake,CLZ0022,4.0,"['USD', '14.99']"
Thermene,Graphene,9.0,"['USD', '0.00']"
Xigmatek,Freezing Point G4718,4.0,"['USD', '0.00']"
Xigmatek,PTI-G3606,3.0,"['USD', '0.00']"
Xigmatek,PTI-G4512,4.0,"['USD', '0.00']"
Zalman,ZM - STG1,3.5,"['USD', '11.04']"
Zalman,ZM-STG2,3.5,"['USD', '9.16']"
